x,p
-2.1038034027355366,-1.0
-2.0998319344896914,-0.986426955924897
-2.0941486965240195,-0.9671188876483869
-2.085996365815445,-0.9396585057693019
-2.0742612536082805,-0.9006164054145794
-2.05728137072269,-0.8451357393920378
-2.0325216855344075,-0.7663585089587647
-1.9959851635252182,-0.6546543734945613
-1.9497687219952957,-0.5209769476922479
-1.90074913930254,-0.38828965335152404
-1.8484701056158275,-0.2568398263945262
-1.7923479631946622,-0.12696468480552384
-1.7316231002317797,0.0008550978500447663
-1.665285527252706,0.12590897071633655
-1.591963134154126,0.2471010044830009
-1.5097598115079558,0.36265704484727873
-1.416058603563027,0.46955466327421275
-1.3074748894533597,0.5624362175625524
-1.180862936059896,0.6319831716453707
-1.0377689743101803,0.6652222121565948
-0.998137565344038,0.6666632001572842
-0.8567456307461714,0.6471247988780103
-0.7210339311409756,0.59608117117927
-0.5964131357952979,0.5256967029344775
-0.48043507042145367,0.4434707393114894
-0.3707053484473895,0.35372426871355445
-0.26536735644800735,0.25913831472963633
-0.16295827144894479,0.16151579751774203
-0.062264937101457994,0.06218447165849158
0.03778627056196555,-0.037768286788011446
0.1382171616600974,-0.13733699552206105
0.2400761571547677,-0.23546376911054182
0.34451854972356916,-0.3308878994113592
0.45289655510929727,-0.4219312190847595
0.5668554640790969,-0.50614049794379
0.6883812090912773,-0.5796471087229612
0.8195386641733164,-0.6360593585613631
0.9609685980358981,-0.6651630371282384
1.0006991463839605,-0.6666661777471034
1.142114299212302,-0.645513456707783
1.2758450070998986,-0.5835798068348302
1.3904033191653111,-0.4944175067445862
1.4880894049955233,-0.3896760135669165
1.5730586386308838,-0.275540369623824
1.6484225402282158,-0.1553380699394406
1.7163375794924032,-0.031000096446585548
1.7783227935048953,0.09628548437517201
1.8354779415936697,0.2257511061578193
1.8886209591582406,0.35687956249109803
1.9383752037876518,0.48930949995211986
1.9852261179969257,0.6227804809497879
2.029558989142498,0.7570997106687681
2.071684755268881,0.8921211296654047
2.1038034027355366,1.0
