T_MeV,sigma_mq0_GeV3,sigma_mq7_GeV3
20.0,0.03522521902409318,0.035095834520132645
25.0,0.035222182605725114,0.03509285556381142
30.0,0.03521664905259138,0.035087426836609203
35.0,0.03520750205198947,0.03507845344055232
40.0,0.03519338595182288,0.035064606075254565
45.0,0.03517266554803474,0.03504428198512171
50.0,0.03514334685471294,0.03501552807104913
55.0,0.0351028303133273,0.034975801788169496
60.0,0.035046904846861605,0.03492099802526013
65.0,0.03496742327074835,0.03484320230470083
70.0,0.03485091307215796,0.034729352506495025
75.0,0.034680924823788935,0.034563522510176165
80.0,0.034441524945988546,0.03433032274517036
85.0,0.03411849726025008,0.034016092759387724
90.0,0.033698576582900285,0.03360819694571174
95.0,0.03316817606919067,0.03309384389164426
100.0,0.03251220353248902,0.032459019518926074
105.0,0.03171291441882132,0.03168750770781
110.0,0.030748550094487147,0.030759800346597855
115.0,0.029591423911040193,0.029651662448422145
120.0,0.028204925045314858,0.028332043838639777
125.0,0.026538408024030787,0.026759833638723904
130.0,0.024517623915162514,0.0248785306285426
135.0,0.02202450282414641,0.022607053593172544
140.0,0.01884623307855444,0.01982357858242467
145.0,0.01450269337476037,0.016341502983381002
150.0,0.0070237183878100965,0.01194151172616006
155.0,2.570790551546149e-16,0.007128643771618464
160.0,-4.14268601001717e-29,0.004097624858905083
165.0,-6.136214456160826e-42,0.002736863888424641
170.0,1.0275647305868026e-54,0.0020414006625181116
174.99999999999997,-1.2339899986670213e-67,0.0016255435735210069
180.0,1.1140762595444096e-80,0.0013486222957154858
185.0,2.4468996767504417e-93,0.0011500560089045522
190.0,3.071418977724641e-106,0.0009998712606744005
195.0,4.98232419789134e-119,0.0008816238480389908
200.0,-4.0605030609527557e-131,0.0007855606225166031
204.99999999999997,-2.299845475963308e-145,0.0007055365343350813
210.0,-3.703828296614653e-157,0.0006374889757797502
215.0,-7.85162733965846e-170,0.0005786248334604188
220.0,-5.568964026243478e-183,0.0005269603644416416
225.0,-6.254360681832235e-195,0.00048104750976052363
230.0,5.200423548743297e-208,0.00043980424303923383
234.99999999999997,-2.815549896016484e-221,0.0004024054566886034
240.0,3.901995633345925e-235,0.00036821083618143795
245.0,1.0674211613911312e-247,0.0003367155682609247
250.0,-1.263893406404226e-260,0.00030751619380159047
255.0,-4.912200883478397e-275,0.0002802862410859949
260.0,3.5455402468724885e-288,0.00025475854909805
265.0,-6.086339748121636e-301,0.0002307123062295252
270.0,5.9284035607e-313,0.00020796331251214122
275.0,-1.71754017715e-313,0.00018635673915171462
280.0,-3.5693973272e-313,0.00016576120749653235
284.99999999999994,6.4683280947e-314,0.00014606469969151816
290.0,-1.67966899506e-313,0.00012717094879843415
295.0,4.255252954e-313,0.00010899674611705351
300.0,-9.348723725e-314,9.146979589970077e-5
