T_MeV,sigma_GeV3,mq_fit_GeV,chi_h
20.0,0.036516994097420166,0.006999998520042095,0.2816199826485395
25.0,0.0365701014226833,0.006999998731353272,0.2817253716923341
30.0,0.03661747116074121,0.006999998565815985,0.28164233757829055
35.0,0.036656505071706605,0.0069999980920567185,0.2814252963118502
40.0,0.03668606692495338,0.00699999770686972,0.2812587702121087
45.0,0.03670509055186589,0.006999997675383221,0.2812455944759693
50.0,0.03671220164798485,0.006999997970680793,0.28137379770564336
55.0,0.03670539358522239,0.006999998396028968,0.28156392484829246
60.0,0.03668089107276847,0.00699999862031309,0.2816729399800429
65.0,0.03663125368214889,0.006999998192193888,0.28147910800487425
70.0,0.03654356528341347,0.006999996693243374,0.2807156063594501
75.0,0.03640223675490095,0.006999998748115145,0.2791505274746646
80.0,0.03619203411488707,0.006999996929712295,0.27662953070772356
85.0,0.035899458011069474,0.006999999011037968,0.27306008772919454
90.0,0.03551207526614824,0.006999995862853674,0.2683797382851168
95.0,0.03501713233501253,0.006999999370110883,0.26253449075144353
100.0,0.03440074596878366,0.006999998188544096,0.2554678886798464
105.0,0.03364668889026552,0.006999995301338707,0.2471147053224206
110.0,0.03273570124461686,0.006999998432647277,0.2373948774970429
115.0,0.031643880798710916,0.006999997404878997,0.226205198294477
120.0,0.03033967370761878,0.006999997432842908,0.21340675975876508
125.0,0.028781983654852867,0.006999999430307556,0.1988051748217235
130.0,0.02691475949892749,0.00699999321002385,0.18211807238242458
135.0,0.024657088658711288,0.006999998159551788,0.16291925823034942
140.0,0.021886582186252567,0.006999994933825058,0.14054138715130549
145.0,0.018416333363793443,0.006999992307338273,0.11393826053080036
150.0,0.014029176760684568,0.006999997289586246,0.08195062050260747
155.0,0.009227856322818485,0.006999993924015872,0.04837502362913245
160.0,0.00620889454789257,0.006999998254857328,0.02773236147158052
165.0,0.004859106061157755,0.0069999999069937655,0.018575816866475036
170.0,0.004174405405017074,0.006999993917975863,0.013940497538082557
174.99999999999997,0.003769688291136977,0.006999999922101318,0.011197819671985135
180.0,0.003502062700678144,0.006999999281748386,0.009393514925055956
185.0,0.003313436032628638,0.006999996102817547,0.008117511846872155
190.0,0.0031743946381643908,0.006999994878394514,0.0071671858525642245
195.0,0.003064478036030539,0.006999995353087573,0.006431481174358188
200.0,0.0029790085079355122,0.006999996693422377,0.005844593003463536
204.99999999999997,0.0029074888134434985,0.006999998384697515,0.005365100402530531
210.0,0.0028487878958232448,0.006999999999574577,0.004965648657080931
215.0,0.0027967031443814415,0.006999999958212658,0.004627451506039544
220.0,0.0027533255553338245,0.006999999908453646,0.004337185760421212
